sido_code,sido_nm,sigun_code,sigun_nm,총인구_여자(명),총인구_65세이상(명),소멸위험지수,,출생아수,평균연령,종합병원,부동산업_사업체수
42,강원도,42150,강릉시,23477,40281,0.582830615,강원도강릉시,1036,44.2,4,229
42,강원도,42820,고성군,2477,7014,0.353150841,강원도고성군,106,47.8,0,14
42,강원도,42170,동해시,8212,16115,0.509587341,강원도동해시,472,44.4,1,105
42,강원도,42230,삼척시,6711,14842,0.452162781,강원도삼척시,341,45.8,1,49
42,강원도,42210,속초시,7697,13607,0.565664731,강원도속초시,416,44.7,2,159
42,강원도,42800,양구군,2168,4108,0.52775073,강원도양구군,164,43.4,0,12
42,강원도,42830,양양군,1862,7273,0.256015399,강원도양양군,134,50.9,0,43
42,강원도,42750,영월군,2559,10040,0.254880478,강원도영월군,122,50.4,1,15
42,강원도,42130,원주시,44054,46538,0.946624264,강원도원주시,2041,41.3,1,647
42,강원도,42810,인제군,3009,5768,0.52167129,강원도인제군,262,44.5,0,9
42,강원도,42770,정선군,2879,8805,0.326973311,강원도정선군,136,49.4,0,25
42,강원도,42780,철원군,4241,8990,0.471746385,강원도철원군,334,44.5,0,20
42,강원도,42110,춘천시,37727,44699,0.844023356,강원도춘천시,1705,42.1,2,432
42,강원도,42190,태백시,3762,9524,0.3950021,강원도태백시,228,46.7,1,49
42,강원도,42760,평창군,3020,10080,0.299603175,강원도평창군,142,49.7,0,39
42,강원도,42720,홍천군,5710,15751,0.362516666,강원도홍천군,361,48,1,31
42,강원도,42790,화천군,2351,4849,0.484842236,강원도화천군,202,44.4,0,8
42,강원도,42730,횡성군,3486,11752,0.296630361,강원도횡성군,149,49.9,0,36
41,경기도,41820,가평군,5450,13809,0.394670143,경기도가평군,301,47.7,0,73
41,경기도,41280,고양시,134490,124493,1.080301704,경기도고양시,5816,41.2,5,1609
41,경기도,41290,과천시,6587,7243,0.909429794,경기도과천시,281,41.8,0,106
41,경기도,41210,광명시,43241,39039,1.107635954,경기도광명시,2123,40.9,1,378
41,경기도,41610,광주시,49709,41787,1.189580492,경기도광주시,2827,40.2,1,305
41,경기도,41310,구리시,27092,23085,1.173575915,경기도구리시,1318,40.9,1,270
41,경기도,41410,군포시,38100,31901,1.194319927,경기도군포시,2081,40.8,2,395
41,경기도,41570,김포시,56734,46969,1.207903085,경기도김포시,3238,38.9,2,660
41,경기도,41360,남양주시,82240,85444,0.962501756,경기도남양주시,4120,40.6,3,729
41,경기도,41250,동두천시,11249,17707,0.63528548,경기도동두천시,464,43.7,0,101
41,경기도,41190,부천시,122227,98444,1.241589127,경기도부천시,5447,41.3,4,1206
41,경기도,41130,성남시,132820,117099,1.134253922,경기도성남시,6453,41.3,5,1877
41,경기도,41110,수원시,184240,117044,1.574108882,경기도수원시,8832,39,3,1650
41,경기도,41390,시흥시,66234,38683,1.712225008,경기도시흥시,3185,38.7,3,565
41,경기도,41270,안산시,99931,65669,1.521737806,경기도안산시,3747,40,3,820
41,경기도,41550,안성시,25595,29512,0.867274329,경기도안성시,1043,41.5,2,139
41,경기도,41170,안양시,79059,66730,1.184759478,경기도안양시,4066,41.1,2,1100
41,경기도,41630,양주시,25229,31143,0.810101789,경기도양주시,1304,41.6,0,242
41,경기도,41830,양평군,10236,25508,0.401285871,경기도양평군,520,47.1,0,137
41,경기도,41670,여주시,12476,21240,0.587382298,경기도여주시,627,44.7,0,76
41,경기도,41800,연천군,3923,10182,0.385287763,경기도연천군,329,46.8,0,24
41,경기도,41370,오산시,34363,18947,1.813638043,경기도오산시,1847,37.3,3,240
41,경기도,41460,용인시,138888,124177,1.118467993,경기도용인시,6598,39.3,3,1865
41,경기도,41430,의왕시,19333,18811,1.027749721,경기도의왕시,869,41.6,0,232
41,경기도,41150,의정부시,57718,59525,0.969643007,경기도의정부시,2559,41.7,4,547
41,경기도,41500,이천시,29955,27362,1.094766464,경기도이천시,1525,40,1,225
41,경기도,41480,파주시,58516,56304,1.039286729,경기도파주시,3227,39.8,1,579
41,경기도,41220,평택시,67751,56015,1.209515308,경기도평택시,3586,39.6,4,700
41,경기도,41650,포천시,17838,25384,0.702726127,경기도포천시,772,43.5,2,100
41,경기도,41450,하남시,32917,28700,1.146933798,경기도하남시,1892,40.2,0,385
41,경기도,41590,화성시,112345,61915,1.814503755,경기도화성시,7178,36.4,3,1333
48,경상남도,48310,거제시,31115,22755,1.367391782,경상남도거제시,2030,38.2,3,388
48,경상남도,48880,거창군,4794,15604,0.307228916,경상남도거창군,266,47.9,0,33
48,경상남도,48820,고성군,3774,14504,0.260204082,경상남도고성군,207,49.6,0,43
48,경상남도,48250,김해시,67813,53290,1.272527679,경상남도김해시,3433,39.1,5,571
